French,English
histoire,history
seulement,only
police,police
aide,help
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
savais,knew
étaient,were
attention,Warning
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
fin,end
croire,believe
gros,large
plutôt,rather
jouer,to play
bureau,office
